kp_uav,kp_patch,raw_matches,good_matches,good_ratio,homography_inliers,homography_ratio,num_3d2d_corr,pnp_inliers_anchor,pnp_ratio_anchor,anchor_easting_est,anchor_northing_est,anchor_altitude_est,anchor_easting_delta,anchor_northing_delta,anchor_altitude_delta,anchor_yaw_est,anchor_pitch_est,anchor_roll_est,anchor_yaw_delta,anchor_pitch_delta,anchor_roll_delta,reproj_error_anchor_mean,reproj_error_anchor_std,pnp_inliers_prior,pnp_ratio_prior,prior_easting_est,prior_northing_est,prior_altitude_est,prior_easting_delta,prior_northing_delta,prior_altitude_delta,prior_yaw_est,prior_pitch_est,prior_roll_est,prior_yaw_delta,prior_pitch_delta,prior_roll_delta,reproj_error_prior_mean,reproj_error_prior_std,gps_easting,gps_northing,gps_altitude,imu_yaw,imu_pitch,imu_roll,image_id,filename
8001,8001,64,51,0.796875,51,1.0,51,51,1.0,445654.6335766911,5696620.738203762,479.74823257107613,0.11319437419297174,-0.28977603279054165,-0.18792465548636983,-133.6515812402793,4.251274387796008,1.9976878192618772,-1.0811637344963856,-1.496111188964619,1.560467013412108,0.45961025,0.40301168,51,1.0,445654.6335766916,5696620.73820376,479.7482325711817,0.11319437471684068,-0.2897760346531868,-0.1879246553808116,-133.65158124128175,4.251274392391112,1.9976878266109004,-1.0811637354988193,-1.4961111843695107,1.5604670207611377,0.45961025,0.40301168,445654.5203823169,5696621.027979795,479.9361572265625,-132.57041750578293,5.747385576760614,0.43722080584976025,224,frame_000224.png
8001,8001,68,53,0.7794117647058824,53,1.0,53,53,1.0,445654.58790490474,5696620.796908862,479.74727081001885,-0.005908458668272942,-0.30395604856312275,-0.191266787637403,-133.90881695355088,3.79478412490062,1.0595570782684909,-1.0513447621149794,-1.1672696350231035,-0.08898437604040055,0.34996212,0.21550699,53,1.0,445654.5879048836,5696620.796908832,479.74727081221346,-0.005908479797653854,-0.30395607836544514,-0.1912667854427923,-133.90881695656995,3.794784269755406,1.0595570999636343,-1.051344765134047,-1.1672694901683087,-0.08898435434525709,0.34996212,0.21550699,445654.5938133634,5696621.1008649105,479.93853759765625,-132.8574721914359,4.962053759923721,1.148541454308899,225,frame_000225.png
8000,8000,78,69,0.8846153846153846,69,1.0,69,68,0.9855072463768116,445654.58381882287,5696620.851048352,479.7558014674331,-0.024249842972494662,-0.27028537914156914,-0.18725273178569068,-134.00587402743145,3.2588391425213397,1.1301747187177769,-0.9909590148947416,-1.30525968010636,0.15999045469803264,0.5015495,0.50804585,68,0.9855072463768116,445654.58381882234,5696620.851048353,479.7558014673757,-0.02424984349636361,-0.27028537821024656,-0.18725273184310254,-134.00587402716081,3.258839142771834,1.1301747159741835,-0.9909590146241101,-1.3052596798558511,0.15999045195442818,0.5015495,0.50804585,445654.60806866584,5696621.121333731,479.9430541992188,-133.0149150125367,4.564098822627692,0.9701842640197561,226,frame_000226.png
8002,8000,77,69,0.8961038961038961,69,1.0,69,67,0.9710144927536232,445654.5554693702,5696620.732919494,479.7894672908591,-0.0489045146969147,-0.39933173172175884,-0.15956835367222766,-133.72039206443336,3.1500291290784066,2.7882585592910902,-1.0306001953457553,-0.7840477395263292,3.2075188601682783,0.38866183,0.2658552,67,0.9710144927536232,445654.5554693691,5696620.732919491,479.78946729104496,-0.04890451580286026,-0.39933173451572657,-0.15956835348634968,-133.7203920648353,3.1500291397832743,2.788258563396114,-1.0306001957476951,-0.7840477288214629,3.2075188642732826,0.38866183,0.2658552,445654.6043738849,5696621.132251225,479.9490356445313,-132.6897918690876,3.9340768686047256,-0.41926030087718225,227,frame_000227.png
8002,8000,64,54,0.84375,54,1.0,54,50,0.9259259259259259,445654.54051460896,5696620.786475461,479.77229007597737,-0.010240812203846872,-0.3827362544834614,-0.1761352169914403,-129.19110914043043,5.179005680989491,2.658543850840332,-1.086270835862706,-1.1298919318008132,2.941534375388528,0.42617592,0.3450832,50,0.9259259259259259,445654.5405146089,5696620.786475462,479.7722900759662,-0.010240812262054533,-0.3827362535521388,-0.1761352170025816,-129.19110914036187,5.179005680841939,2.6585438503311214,-1.0862708357941528,-1.1298919319483502,2.9415343748792964,0.42617592,0.3450832,445654.55075542117,5696621.169211715,479.9484252929688,-128.10483830456772,6.308897612790297,-0.2829905245481869,228,frame_000228.png
8000,8000,75,66,0.88,66,1.0,66,66,1.0,445654.6231560005,5696620.927577341,479.77050290371744,0.05043414048850536,-0.2748273843899369,-0.19757570956386417,-128.1590347521385,4.248960186046166,2.240941867847165,-0.926373534034326,-1.1950559802859289,2.2530372865333845,0.45512807,0.3539658,66,1.0,445654.6231560002,5696620.927577341,479.7705029036898,0.05043414019746706,-0.2748273843899369,-0.19757570959149007,-128.15903475202154,4.248960186543658,2.240941866738555,-0.9263735339173991,-1.1950559797884353,2.2530372854247673,0.45512807,0.3539658,445654.57272186,5696621.202404725,479.9680786132813,-127.23266121810416,5.444016166332099,-0.012095418686215078,229,frame_000229.png
8000,8000,53,43,0.8113207547169812,43,1.0,43,42,0.9767441860465116,445654.50688916136,5696620.505889701,479.78447825932017,-0.00905952590983361,-0.5691097937524319,-0.23609058833608287,-128.03512081260976,15.179845921230287,0.2888179535077953,-1.1616898422765871,-0.08353990016340163,-2.2799807811182404,0.40670484,0.23074786,42,0.9767441860465116,445654.5068891623,5696620.5058897035,479.78447825941316,-0.009059524978511035,-0.5691097909584641,-0.23609058824308704,-128.03512081041984,15.179845908550853,0.28881794803839417,-1.1616898400866944,-0.0835399128428378,-2.279980786587629,0.40670484,0.23074786,445654.5159486873,5696621.0749994945,480.02056884765625,-126.87343097033316,15.263385821393678,2.5687987346260304,230,frame_000230.png
8000,8000,34,28,0.8235294117647058,28,1.0,28,28,1.0,445654.102116352,5696620.327791479,479.79642652071465,-0.12723742699017748,-0.3987199878320098,-0.2539580007697282,-127.4292602525473,17.639079889949233,1.1831254723593592,-1.025741690433506,-1.3086924196265954,0.13198334472386364,0.40471697,0.18755104,28,1.0,445654.1021163516,5696620.3277914785,479.7964265205924,-0.1272374273976311,-0.39871998876333237,-0.2539580008919984,-127.42926025237433,17.639079891793273,1.1831254716205304,-1.0257416902605598,-1.308692417782538,0.1319833439850413,0.40471697,0.18755104,445654.229353779,5696620.726511467,480.0503845214844,-126.40351856211377,18.94777230957582,1.051142127635491,231,frame_000231.png
8000,8000,47,39,0.8297872340425532,39,1.0,39,39,1.0,445653.66449308407,5696619.476541136,479.8002933844874,-0.007634510169737041,-0.5723774861544371,-0.23550373465320718,-127.61868473463751,18.218559074986317,1.7249202052427457,-1.3291006120741145,-0.08753543344553805,0.396133922915368,0.35659397,0.18750134,39,1.0,445653.66449308814,5696619.476541132,479.80029338459127,-0.007634506095200777,-0.5723774908110499,-0.23550373454935425,-127.61868474377164,18.218559080831692,1.7249202318437247,-1.329100621208255,-0.08753542760015876,0.3961339495163543,0.35659397,0.18750134,445653.67212759424,5696620.048918623,480.0357971191406,-126.28958412256338,18.306094508431848,1.328786282327373,232,frame_000232.png
8000,8000,47,33,0.7021276595744681,33,1.0,33,33,1.0,445653.13930143445,5696618.750870409,479.7715531776404,-0.1591412135749124,-0.8326336918398738,-0.25609574814092184,-127.90076861053008,17.28123106556313,1.0938175455290782,-1.3992810483111953,0.23387702191641324,-0.8966843373526387,0.49975234,0.48283783,33,1.0,445653.1393013925,5696618.750870406,479.7715531714,-0.15914125554263592,-0.8326336955651641,-0.25609575438130605,-127.90076857391455,17.28123118033772,1.093817414643334,-1.3992810116956775,0.23387713669100663,-0.8966844682383908,0.49975234,0.48283783,445653.298442648,5696619.583504101,480.0276489257813,-126.50148756221888,17.047354043646706,1.9905018828817274,233,frame_000233.png
